,Vreme,SO2 [ug.m-3],O3 [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],CO [mg.m-3],NO [ug.m-3],V [m/s],dd [°],P [mb],t [°C]
579,2019-11-05 20:00:00,17.93,62.44,4.28,11.69,0.15,4.82,2.91,139.48,994.04,21.07
580,2019-11-05 21:00:00,26.88,59.89,6.98,14.05,0.16,4.59,2.34,135.86,993.78,20.5
581,2019-11-05 22:00:00,30.24,61.83,6.42,12.65,0.14,4.09,2.13,133.77,993.56,20.56
582,2019-11-05 23:00:00,18.66,63.76,4.07,9.42,0.14,3.49,2.26,134.51,993.73,20.27
583,2019-11-06 00:00:00,20.51,62.99,4.11,9.11,0.13,3.3,1.92,146.63,993.6,20.29
584,2019-11-06 01:00:00,23.54,57.63,5.75,12.75,0.16,4.54,0.46,175.53,994.29,20.48
585,2019-11-06 02:00:00,13.69,46.63,5.47,12.42,0.24,4.58,0.28,287.26,996.26,17.68
586,2019-11-06 03:00:00,12.55,40.11,4.94,11.16,0.19,4.05,0.73,301.31,996.77,16.69
587,2019-11-06 04:00:00,10.95,33.28,4.42,10.19,0.12,3.77,0.51,325.39,998.45,15.11
588,2019-11-06 05:00:00,10.44,31.14,4.86,13.19,0.13,5.43,0.3,150.17,998.53,14.1
589,2019-11-06 06:00:00,10.38,29.85,7.14,13.31,0.14,3.97,0.76,134.91,998.58,13.41
590,2019-11-06 07:00:00,10.33,29.79,8.08,15.22,0.16,4.66,0.73,122.43,999.43,13.31
591,2019-11-06 08:00:00,9.8,24.17,10.25,17.57,0.19,4.78,0.6,135.87,1000.48,13.71
592,2019-11-06 09:00:00,9.24,34.37,4.5,12.45,0.15,5.22,0.51,121.15,1000.88,14.21
593,2019-11-06 10:00:00,10.11,41.9,5.01,11.68,0.15,4.34,0.64,142.8,1001.48,15.17
594,2019-11-06 11:00:00,11.35,46.58,6.92,13.58,0.15,4.33,0.98,134.37,1001.52,16.04
595,2019-11-06 12:00:00,11.32,50.37,7.05,13.03,0.14,3.86,0.95,134.13,1001.59,16.34
596,2019-11-06 13:00:00,11.75,49.68,8.9,16.07,0.15,4.7,0.71,131.56,1001.48,17.14
597,2019-11-06 14:00:00,11.33,47.26,6.83,14.48,0.17,5.0,1.13,144.77,1001.62,16.68
598,2019-11-06 15:00:00,10.44,40.15,7.76,14.06,0.17,4.08,0.87,136.56,1001.56,16.05
599,2019-11-06 16:00:00,10.56,37.26,6.44,12.38,0.17,3.84,0.63,137.63,1001.49,15.33
600,2019-11-06 17:00:00,10.68,25.6,16.59,24.43,0.27,5.06,0.31,72.46,1001.01,15.16
601,2019-11-06 18:00:00,11.07,30.55,14.35,21.69,0.28,4.92,0.34,64.57,1001.19,14.83
602,2019-11-06 19:00:00,10.97,24.77,15.09,21.83,0.29,4.35,0.53,86.65,1000.78,14.58
603,2019-11-06 20:00:00,11.08,18.69,18.43,30.22,0.3,7.66,0.24,49.08,1000.31,14.48
604,2019-11-06 21:00:00,10.48,20.35,12.49,21.33,0.28,5.8,0.38,91.92,1000.5,14.17
605,2019-11-06 22:00:00,10.43,16.88,10.43,17.35,0.3,4.54,0.49,71.1,999.9,14.04
606,2019-11-06 23:00:00,10.76,7.83,18.6,31.08,0.36,8.15,0.6,21.6,999.99,14.35
607,2019-11-07 00:00:00,10.79,30.87,10.33,20.96,0.23,6.98,0.17,35.3,1000.11,14.97
608,2019-11-07 01:00:00,10.92,34.32,8.46,14.96,0.22,4.28,0.17,97.62,1000.31,15.1
609,2019-11-07 02:00:00,10.61,31.66,7.04,13.14,0.19,4.02,0.4,85.47,1000.16,14.5
610,2019-11-07 03:00:00,10.35,28.24,6.98,13.5,0.18,4.23,0.14,306.31,1000.38,14.99
611,2019-11-07 04:00:00,10.39,15.78,11.99,20.47,0.23,5.52,0.19,248.95,1000.96,14.17
612,2019-11-07 05:00:00,10.38,8.11,,,0.25,,0.32,191.39,1001.15,13.38
613,2019-11-07 06:00:00,9.92,6.92,9.44,18.84,,6.09,0.17,198.2,1001.42,13.17
614,2019-11-07 07:00:00,10.3,3.62,14.81,32.85,0.39,11.68,0.37,179.21,1002.22,13.37
615,2019-11-07 08:00:00,9.83,12.44,14.61,25.4,0.27,7.07,0.68,144.69,1002.88,13.06
616,2019-11-07 09:00:00,,,12.99,21.26,0.19,5.35,0.56,133.16,1003.05,13.49
617,2019-11-07 10:00:00,11.05,29.91,16.26,28.43,0.24,7.92,0.15,332.78,1003.46,14.97
618,2019-11-07 11:00:00,13.76,54.58,10.8,18.49,0.18,5.08,0.07,334.8,1003.28,17.03
619,2019-11-07 12:00:00,12.06,59.88,8.4,16.09,0.16,5.03,0.39,114.24,1003.23,18.37
620,2019-11-07 13:00:00,10.85,66.41,6.17,14.26,0.16,5.55,0.3,134.34,1003.31,19.18
621,2019-11-07 14:00:00,11.37,61.27,9.27,15.1,0.21,3.74,0.31,73.56,1003.36,18.64
622,2019-11-07 15:00:00,11.73,33.68,23.33,35.95,0.28,8.16,0.25,44.82,1003.55,17.84
623,2019-11-07 16:00:00,11.09,16.75,29.61,39.56,0.32,6.44,0.27,124.21,1003.89,16.89
624,2019-11-07 17:00:00,10.44,7.38,27.76,40.01,0.4,8.07,0.7,139.0,1004.41,15.19
625,2019-11-07 18:00:00,9.67,6.84,22.21,32.09,0.37,6.44,0.43,131.51,1004.61,14.29
626,2019-11-07 19:00:00,10.35,6.62,26.93,49.01,0.46,14.39,0.24,50.99,1004.66,14.59
627,2019-11-07 20:00:00,10.4,14.77,18.45,29.97,0.31,7.45,0.36,7.2,1004.57,14.47
628,2019-11-07 21:00:00,10.88,11.93,29.38,45.73,0.44,15.09,0.38,29.06,1004.47,14.5
629,2019-11-07 22:00:00,10.15,15.98,15.84,25.89,0.36,6.56,0.36,28.7,1004.51,14.05
630,2019-11-07 23:00:00,10.13,12.71,12.0,21.77,0.35,6.42,0.25,359.31,1004.48,13.53
631,2019-11-08 00:00:00,9.73,15.77,9.18,18.53,0.28,6.22,0.34,23.76,1004.59,13.15
632,2019-11-08 01:00:00,9.99,24.7,5.67,12.01,0.2,4.13,0.37,19.1,1004.39,13.22
633,2019-11-08 02:00:00,9.77,23.79,4.99,9.73,0.2,3.06,0.53,11.12,1003.87,12.81
634,2019-11-08 03:00:00,9.93,16.54,5.3,11.75,0.22,4.16,0.15,342.72,1003.43,12.53
635,2019-11-08 04:00:00,9.82,13.31,4.9,11.91,0.22,4.51,0.19,44.59,1003.28,12.14
636,2019-11-08 05:00:00,9.69,11.09,7.02,17.45,0.23,6.32,0.54,10.06,1002.98,12.24
637,2019-11-08 06:00:00,9.74,9.17,8.74,18.79,0.25,6.52,0.44,26.14,1003.09,12.39
638,2019-11-08 07:00:00,10.33,3.96,16.27,38.98,0.53,14.65,0.23,24.8,1003.31,12.25
639,2019-11-08 08:00:00,9.61,3.13,17.1,49.15,0.37,20.58,0.22,69.93,1003.26,11.81
640,2019-11-08 09:00:00,9.91,2.14,,41.29,0.33,17.96,0.24,18.39,1002.84,12.16
641,2019-11-08 10:00:00,10.25,4.33,11.27,24.8,0.29,8.89,0.39,105.24,1002.56,12.5
642,2019-11-08 11:00:00,10.47,3.41,10.29,30.5,0.34,12.39,0.19,53.17,1002.18,13.3
643,2019-11-08 12:00:00,10.96,5.58,10.15,28.44,0.32,12.82,0.3,80.54,1001.59,14.3
644,2019-11-08 13:00:00,11.76,7.9,13.15,36.64,0.38,15.57,0.1,187.92,1001.39,15.91
645,2019-11-08 14:00:00,12.62,29.89,9.42,17.0,0.26,5.25,0.45,153.17,1001.28,16.39
646,2019-11-08 15:00:00,12.25,20.36,15.38,28.3,0.35,8.26,0.06,218.91,1001.4,16.64
647,2019-11-08 16:00:00,11.6,1.22,22.71,62.39,0.53,25.75,0.17,290.23,1001.75,15.74
648,2019-11-08 17:00:00,11.27,1.35,16.63,50.04,0.52,21.71,0.46,129.1,1002.03,14.18
649,2019-11-08 18:00:00,11.38,0.5,15.98,55.69,0.55,25.93,0.69,133.52,1002.17,13.0
650,2019-11-08 19:00:00,12.43,1.68,14.97,76.17,0.88,40.93,0.17,123.01,1002.26,12.81
651,2019-11-08 20:00:00,12.38,1.31,14.39,88.05,0.9,48.07,0.25,129.82,1002.66,12.68
652,2019-11-08 21:00:00,11.33,3.29,14.15,62.52,0.97,31.48,0.38,156.09,1003.26,11.51
653,2019-11-08 22:00:00,12.02,1.73,13.98,88.78,1.34,48.81,0.25,160.74,1003.76,10.97
654,2019-11-08 23:00:00,11.53,3.98,12.6,66.48,1.17,35.14,0.23,131.0,1003.93,10.47
655,2019-11-09 00:00:00,10.56,8.33,11.18,40.87,0.61,19.43,0.44,155.5,1003.89,11.57
656,2019-11-09 01:00:00,9.85,26.02,3.98,11.76,0.19,5.38,0.91,155.46,1003.87,13.82
657,2019-11-09 02:00:00,10.51,44.54,4.04,10.75,0.14,4.79,1.18,139.49,1003.87,15.21
658,2019-11-09 03:00:00,12.6,58.93,4.5,9.17,0.11,3.03,1.32,135.82,1003.72,15.71
659,2019-11-09 04:00:00,13.31,61.13,3.26,9.1,0.11,3.8,1.95,134.82,1003.53,15.95
660,2019-11-09 05:00:00,13.1,61.76,4.1,8.5,0.11,2.87,2.43,140.49,1003.45,16.43
661,2019-11-09 06:00:00,12.29,65.59,3.95,8.8,0.11,3.22,2.41,145.07,1003.67,16.79
662,2019-11-09 07:00:00,11.93,62.84,3.32,8.52,0.12,3.35,2.35,141.09,1004.18,16.7
663,2019-11-09 08:00:00,14.39,61.41,4.57,10.85,0.12,4.11,2.69,145.71,1004.37,17.03
664,2019-11-09 09:00:00,13.67,64.43,3.0,11.24,0.12,5.33,2.78,141.64,1004.46,17.51
665,2019-11-09 10:00:00,13.59,63.89,4.17,10.23,0.13,3.95,2.47,139.98,1004.58,17.93
666,2019-11-09 11:00:00,16.86,61.19,6.2,13.67,0.15,4.87,1.36,136.99,1004.25,18.61
667,2019-11-09 12:00:00,22.63,62.34,6.37,13.19,0.15,4.43,1.74,140.02,1003.8,19.33
668,2019-11-09 13:00:00,26.04,62.52,6.45,11.19,0.16,3.07,2.1,142.84,1003.54,20.11
669,2019-11-09 14:00:00,31.52,59.88,8.03,12.06,0.17,2.61,1.74,144.91,1003.45,20.08
670,2019-11-09 15:00:00,15.84,58.17,8.11,12.86,0.19,3.11,1.43,133.11,1003.49,19.7
671,2019-11-09 16:00:00,18.7,31.53,20.6,29.15,0.28,5.63,0.61,301.87,1003.95,19.24
672,2019-11-09 17:00:00,12.1,21.83,15.19,22.84,0.34,4.99,0.05,185.21,1005.05,17.13
673,2019-11-09 18:00:00,10.78,13.47,16.71,27.07,0.37,6.76,0.16,326.31,1005.55,16.16
674,2019-11-09 19:00:00,10.5,12.46,16.36,25.02,0.39,5.78,0.09,237.38,1005.75,15.42
675,2019-11-09 20:00:00,10.37,11.55,15.51,30.2,0.4,9.74,0.1,283.19,1005.75,14.61
676,2019-11-09 21:00:00,9.92,10.33,12.39,24.39,0.35,7.94,0.34,199.58,1005.22,13.72
677,2019-11-09 22:00:00,10.02,14.1,8.47,16.61,0.26,5.67,0.32,151.2,1004.66,13.38
678,2019-11-09 23:00:00,9.78,12.94,8.5,16.04,0.27,4.94,0.55,136.51,1004.54,13.23
679,2019-11-10 00:00:00,10.06,16.96,8.45,15.44,0.25,4.51,0.13,123.46,1004.08,13.27
680,2019-11-10 01:00:00,10.15,19.25,8.3,16.58,0.21,5.39,0.13,112.44,1002.96,13.15
681,2019-11-10 02:00:00,10.1,20.05,6.19,13.1,0.2,4.43,0.32,119.22,1002.15,12.76
682,2019-11-10 03:00:00,10.17,19.08,6.54,13.69,0.2,4.67,0.35,110.67,1001.49,12.59
683,2019-11-10 04:00:00,10.29,17.64,4.8,11.18,0.2,4.24,0.1,88.78,1001.09,12.5
684,2019-11-10 05:00:00,10.08,13.87,5.12,12.81,0.2,5.07,0.25,99.16,1000.61,12.32
685,2019-11-10 06:00:00,10.07,12.04,,,0.22,,0.17,109.26,1000.36,12.29
686,2019-11-10 07:00:00,10.4,8.2,9.79,19.17,,5.95,0.24,158.79,1000.43,12.47
687,2019-11-10 08:00:00,10.76,7.99,8.54,22.33,0.28,8.95,0.14,243.46,1000.69,12.92
688,2019-11-10 09:00:00,10.94,13.74,7.26,18.34,0.29,6.89,0.47,161.28,1001.47,14.07
689,2019-11-10 10:00:00,,,5.19,11.58,0.21,4.21,0.98,165.23,1002.08,14.78
690,2019-11-10 11:00:00,19.67,35.35,7.97,18.3,0.23,7.18,0.1,64.2,1002.45,16.26
691,2019-11-10 12:00:00,26.05,41.83,7.76,16.87,0.25,6.02,0.51,323.11,1002.96,17.08
692,2019-11-10 13:00:00,14.75,43.75,6.89,15.57,0.23,5.65,1.52,316.09,1003.5,15.43
693,2019-11-10 14:00:00,11.11,36.46,7.48,13.44,0.22,3.93,1.52,317.96,1004.4,13.5
694,2019-11-10 15:00:00,10.47,29.36,7.57,16.65,0.24,5.84,1.0,327.3,1005.14,12.71
695,2019-11-10 16:00:00,10.35,21.08,12.34,20.77,0.24,5.53,1.25,313.1,1005.91,12.05
696,2019-11-10 17:00:00,9.88,21.75,13.4,22.05,0.25,5.7,0.97,303.24,1006.92,11.75
697,2019-11-10 18:00:00,9.14,30.32,10.26,18.72,0.25,5.5,0.71,320.25,1008.03,11.77
698,2019-11-10 19:00:00,9.2,21.2,10.51,19.91,0.27,6.14,0.75,314.13,1009.14,11.65
699,2019-11-10 20:00:00,9.08,21.42,9.67,19.8,0.3,6.65,0.54,316.47,1010.15,11.36
700,2019-11-10 21:00:00,9.17,19.0,9.36,17.13,0.28,4.85,0.44,325.78,1010.8,10.92
701,2019-11-10 22:00:00,9.05,16.3,7.79,16.57,0.27,5.65,0.22,2.4,1011.36,10.81
702,2019-11-10 23:00:00,9.0,16.86,7.08,12.29,0.25,3.47,0.1,152.43,1012.11,10.6
703,2019-11-11 00:00:00,8.52,16.74,5.84,12.37,0.22,4.0,0.07,191.19,1012.57,10.39
704,2019-11-11 01:00:00,8.53,16.75,6.63,13.53,0.22,4.42,0.98,303.71,1012.85,10.49
705,2019-11-11 02:00:00,8.5,16.39,4.98,12.48,0.2,4.88,0.55,304.92,1013.08,10.14
706,2019-11-11 03:00:00,8.24,18.52,4.13,10.99,0.19,4.46,0.39,296.66,1013.23,9.79
707,2019-11-11 04:00:00,8.04,15.64,5.82,10.97,0.2,3.33,0.02,159.26,1013.59,9.79
708,2019-11-11 05:00:00,8.58,11.31,9.36,17.56,0.2,5.72,0.39,1.66,1013.6,10.01
709,2019-11-11 06:00:00,8.49,10.3,9.54,17.99,0.24,5.21,0.47,91.96,1013.82,9.9
710,2019-11-11 07:00:00,8.41,12.52,7.37,,0.22,5.37,0.44,82.66,1014.0,9.88
711,2019-11-11 08:00:00,8.62,14.14,7.93,15.66,0.23,5.04,0.59,82.24,1014.32,10.31
712,2019-11-11 09:00:00,8.79,16.31,8.9,17.68,0.25,5.77,0.63,98.07,1014.04,10.99
713,2019-11-11 10:00:00,11.67,22.81,7.07,16.09,0.23,5.88,0.79,108.65,1013.77,12.13
714,2019-11-11 11:00:00,10.76,28.13,7.21,15.74,0.21,5.6,0.87,86.34,1013.03,12.34
715,2019-11-11 12:00:00,11.49,37.37,7.14,13.1,0.2,3.84,0.68,97.16,1012.41,12.82
716,2019-11-11 13:00:00,12.76,42.87,6.04,12.68,0.2,4.31,0.79,111.88,1012.02,13.32
717,2019-11-11 14:00:00,11.91,38.31,6.92,14.55,0.24,4.99,0.78,103.35,1011.67,13.36
718,2019-11-11 15:00:00,11.27,35.69,9.69,18.04,0.35,5.06,0.88,88.01,1010.85,12.93
