,CO [mg.m-3],Mesto,NO [ug.m-3],NO2 [ug.m-3],NOX [ug.m-3],O3 [ug.m-3],P [mb],PM1 [ug.m-3],PM10 [ug.m-3],PM2.5 [ug.m-3],Rh [%],SO2 [ug.m-3],Unnamed: 0,V [m/s],Vreme,dd [°],t [°C],Mesto_Beograd,Mesto_Kragujevac,Mesto_Nis,Mesto_Novi Sad,Mesto_Sabac,Mesto_Uzice
0,0.22,Novi Sad,2.84,3.97,8.29,44.84,994.74,,,,61.57,20.17,,1.44,2019-11-03 18:00:00,100.27,19.05,0,0,0,1,0,0
1,0.23,Novi Sad,2.71,5.39,9.62,45.51,994.16,,,,63.14,20.75,,1.44,2019-11-03 19:00:00,127.3,18.72,0,0,0,1,0,0
2,0.18,Novi Sad,2.61,4.45,8.4,54.52,994.08,,,,58.87,30.67,,2.25,2019-11-03 20:00:00,137.82,19.75,0,0,0,1,0,0
3,0.2,Novi Sad,2.65,2.88,6.97,48.0,994.09,,,,61.67,23.23,,1.52,2019-11-03 21:00:00,136.23,18.51,0,0,0,1,0,0
4,0.21,Novi Sad,1.67,3.14,5.7,45.85,993.56,,,,64.44,18.36,,1.64,2019-11-03 22:00:00,137.55,17.91,0,0,0,1,0,0
5,0.19,Novi Sad,1.68,1.43,4.09,51.88,993.16,,,,63.0,17.74,,2.1,2019-11-03 23:00:00,132.89,18.4,0,0,0,1,0,0
6,0.17,Novi Sad,1.28,0.84,2.86,55.89,992.71,,,,60.22,17.63,,2.56,2019-11-04 00:00:00,133.75,18.94,0,0,0,1,0,0
7,0.16,Novi Sad,1.95,0.5,2.77,57.49,992.19,,,,60.18,16.34,,2.48,2019-11-04 01:00:00,141.95,18.87,0,0,0,1,0,0
8,0.16,Novi Sad,2.71,0.5,4.21,55.23,992.04,,,,61.93,15.87,,2.15,2019-11-04 02:00:00,135.33,18.42,0,0,0,1,0,0
9,0.15,Novi Sad,2.69,0.61,4.7,55.42,991.4,,,,61.66,17.74,,3.2,2019-11-04 03:00:00,135.98,18.71,0,0,0,1,0,0
10,0.14,Novi Sad,1.98,1.5,4.51,54.25,991.27,,,,61.44,22.15,,3.28,2019-11-04 04:00:00,131.9,18.92,0,0,0,1,0,0
11,0.14,Novi Sad,1.98,1.5,4.51,54.0,990.96,,,,62.48,21.28,,2.47,2019-11-04 05:00:00,133.55,18.75,0,0,0,1,0,0
12,0.14,Novi Sad,3.06,1.5,6.11,51.29,990.82,,,,64.98,20.37,,2.73,2019-11-04 06:00:00,141.45,18.74,0,0,0,1,0,0
13,0.14,Novi Sad,2.36,4.71,8.31,49.7,991.01,,,,64.3,27.44,,2.87,2019-11-04 07:00:00,136.31,19.15,0,0,0,1,0,0
14,0.15,Novi Sad,3.11,4.17,8.55,52.32,991.07,,,,62.78,27.98,,3.07,2019-11-04 08:00:00,145.05,19.62,0,0,0,1,0,0
15,0.15,Novi Sad,3.03,3.85,8.53,52.32,991.0,,,,62.4,27.98,,3.08,2019-11-04 09:00:00,143.17,19.82,0,0,0,1,0,0
16,0.16,Novi Sad,2.73,4.21,8.48,52.12,991.09,,,,61.83,28.33,,2.11,2019-11-04 10:00:00,140.73,20.34,0,0,0,1,0,0
17,0.15,Novi Sad,2.07,2.31,5.48,55.7,991.31,,,,59.71,21.47,,1.93,2019-11-04 11:00:00,141.26,20.75,0,0,0,1,0,0
18,0.16,Novi Sad,5.13,6.8,14.6,38.95,992.95,,,,75.75,15.05,,0.45,2019-11-04 12:00:00,155.37,16.52,0,0,0,1,0,0
19,0.17,Novi Sad,3.16,5.09,10.06,50.27,993.28,,,,76.42,16.78,,0.52,2019-11-04 13:00:00,165.68,17.39,0,0,0,1,0,0
20,0.25,Novi Sad,3.31,9.76,14.77,52.95,993.86,,,,62.88,18.76,,0.42,2019-11-04 14:00:00,35.54,19.27,0,0,0,1,0,0
21,0.24,Novi Sad,3.93,13.17,19.33,41.33,994.62,,,,64.7,17.09,,0.25,2019-11-04 15:00:00,123.83,18.82,0,0,0,1,0,0
22,0.23,Novi Sad,3.07,13.28,17.88,39.5,995.4,,,,66.15,14.84,,0.16,2019-11-04 16:00:00,143.22,18.16,0,0,0,1,0,0
23,0.21,Novi Sad,3.25,7.98,12.86,45.31,996.47,,,,66.96,14.26,,0.52,2019-11-04 17:00:00,161.81,17.2,0,0,0,1,0,0
24,0.36,Novi Sad,5.33,20.99,29.48,20.33,997.22,,,,68.87,13.31,,0.05,2019-11-04 18:00:00,332.24,16.58,0,0,0,1,0,0
25,0.59,Novi Sad,24.23,30.57,67.63,1.83,997.96,,,,73.18,12.97,,0.15,2019-11-04 19:00:00,78.69,15.8,0,0,0,1,0,0
26,0.63,Novi Sad,14.58,25.36,47.17,1.52,998.5,,,,78.01,12.01,,0.13,2019-11-04 20:00:00,84.19,14.56,0,0,0,1,0,0
27,0.62,Novi Sad,17.0,20.55,46.39,10.9,998.66,,,,78.94,11.95,,0.33,2019-11-04 21:00:00,131.63,14.67,0,0,0,1,0,0
28,0.17,Novi Sad,0.5,2.03,2.48,43.27,999.04,,,,73.03,11.4,,1.09,2019-11-04 22:00:00,156.9,15.76,0,0,0,1,0,0
29,0.15,Novi Sad,0.78,1.78,3.05,56.33,999.03,,,,65.2,13.13,,1.14,2019-11-04 23:00:00,165.91,16.12,0,0,0,1,0,0
30,0.15,Novi Sad,4.35,2.45,9.18,62.46,999.21,,,,56.16,13.59,,1.17,2019-11-05 00:00:00,164.71,16.51,0,0,0,1,0,0
31,0.14,Novi Sad,4.35,2.45,9.18,62.48,999.37,,,,53.19,14.6,,1.48,2019-11-05 01:00:00,166.05,16.59,0,0,0,1,0,0
32,0.11,Novi Sad,2.55,2.52,6.45,67.02,999.21,,,,49.4,13.48,,0.27,2019-11-05 02:00:00,174.59,16.96,0,0,0,1,0,0
33,0.1,Novi Sad,3.78,1.59,7.38,71.93,999.21,,,,46.23,12.11,,1.59,2019-11-05 03:00:00,155.33,17.75,0,0,0,1,0,0
34,0.11,Novi Sad,3.88,1.73,7.64,71.8,999.1,,,,45.76,11.25,,1.06,2019-11-05 04:00:00,162.84,17.85,0,0,0,1,0,0
35,0.1,Novi Sad,3.29,3.16,8.24,70.59,999.21,,,,45.66,10.82,,0.76,2019-11-05 05:00:00,176.24,17.98,0,0,0,1,0,0
36,0.11,Novi Sad,4.04,3.26,9.5,69.16,999.39,,,,45.06,10.6,,1.14,2019-11-05 06:00:00,145.4,18.06,0,0,0,1,0,0
37,0.13,Novi Sad,4.1,5.52,11.81,66.34,999.6,,,,45.67,12.52,,1.82,2019-11-05 07:00:00,137.35,18.41,0,0,0,1,0,0
38,0.12,Novi Sad,3.65,5.32,10.81,65.61,999.58,,,,43.77,13.38,,2.06,2019-11-05 08:00:00,139.57,19.86,0,0,0,1,0,0
39,0.12,Novi Sad,3.35,5.51,10.68,67.98,999.13,,,,44.9,12.34,,3.1,2019-11-05 09:00:00,148.58,20.15,0,0,0,1,0,0
40,0.13,Novi Sad,4.01,5.22,11.46,66.26,998.37,,,,45.58,12.58,,2.97,2019-11-05 10:00:00,146.24,21.36,0,0,0,1,0,0
41,0.13,Novi Sad,5.41,3.69,11.93,73.94,997.32,,,,41.06,11.83,,3.42,2019-11-05 11:00:00,151.15,23.2,0,0,0,1,0,0
42,0.13,Novi Sad,4.08,3.44,9.63,76.56,996.55,,,,38.28,11.2,,3.71,2019-11-05 12:00:00,152.07,24.03,0,0,0,1,0,0
43,0.14,Novi Sad,3.99,4.48,10.57,75.12,995.94,,,,37.43,10.72,,2.31,2019-11-05 13:00:00,156.12,24.62,0,0,0,1,0,0
44,0.14,Novi Sad,3.58,3.82,9.29,76.5,995.7,,,,36.34,10.85,,2.18,2019-11-05 14:00:00,150.29,24.73,0,0,0,1,0,0
45,0.18,Novi Sad,3.37,6.17,11.35,72.18,995.66,,,,37.93,11.03,,1.29,2019-11-05 15:00:00,130.82,24.31,0,0,0,1,0,0
46,0.21,Novi Sad,3.7,8.28,13.94,66.13,995.25,,,,41.35,15.29,,1.37,2019-11-05 16:00:00,135.39,23.04,0,0,0,1,0,0
47,0.23,Novi Sad,3.29,7.69,12.72,62.98,995.03,,,,41.93,14.07,,2.01,2019-11-05 17:00:00,134.23,22.89,0,0,0,1,0,0
48,0.19,Novi Sad,4.11,6.09,12.29,61.4,994.64,,,,44.99,13.57,,2.17,2019-11-05 18:00:00,143.43,22.17,0,0,0,1,0,0
49,0.15,Novi Sad,4.43,4.92,11.67,64.25,994.25,,,,46.7,15.09,,2.47,2019-11-05 19:00:00,137.85,21.66,0,0,0,1,0,0
50,0.15,Novi Sad,4.82,4.28,11.69,62.44,994.04,,,,48.54,17.93,,2.91,2019-11-05 20:00:00,139.48,21.07,0,0,0,1,0,0
51,0.16,Novi Sad,4.59,6.98,14.05,59.89,993.78,,,,50.38,26.88,,2.34,2019-11-05 21:00:00,135.86,20.5,0,0,0,1,0,0
52,0.14,Novi Sad,4.09,6.42,12.65,61.83,993.56,,,,51.12,30.24,,2.13,2019-11-05 22:00:00,133.77,20.56,0,0,0,1,0,0
53,0.14,Novi Sad,3.49,4.07,9.42,63.76,993.73,,,,52.27,18.66,,2.26,2019-11-05 23:00:00,134.51,20.27,0,0,0,1,0,0
54,0.13,Novi Sad,3.3,4.11,9.11,62.99,993.6,,,,52.73,20.51,,1.92,2019-11-06 00:00:00,146.63,20.29,0,0,0,1,0,0
55,0.16,Novi Sad,4.54,5.75,12.75,57.63,994.29,,,,52.5,23.54,,0.46,2019-11-06 01:00:00,175.53,20.48,0,0,0,1,0,0
56,0.24,Novi Sad,4.58,5.47,12.42,46.63,996.26,,,,67.21,13.69,,0.28,2019-11-06 02:00:00,287.26,17.68,0,0,0,1,0,0
57,0.19,Novi Sad,4.05,4.94,11.16,40.11,996.77,,,,74.15,12.55,,0.73,2019-11-06 03:00:00,301.31,16.69,0,0,0,1,0,0
58,0.12,Novi Sad,3.77,4.42,10.19,33.28,998.45,,,,82.01,10.95,,0.51,2019-11-06 04:00:00,325.39,15.11,0,0,0,1,0,0
59,0.13,Novi Sad,5.43,4.86,13.19,31.14,998.53,,,,86.08,10.44,,0.3,2019-11-06 05:00:00,150.17,14.1,0,0,0,1,0,0
60,0.14,Novi Sad,3.97,7.14,13.31,29.85,998.58,,,,88.6,10.38,,0.76,2019-11-06 06:00:00,134.91,13.41,0,0,0,1,0,0
61,0.16,Novi Sad,4.66,8.08,15.22,29.79,999.43,,,,89.11,10.33,,0.73,2019-11-06 07:00:00,122.43,13.31,0,0,0,1,0,0
62,0.19,Novi Sad,4.78,10.25,17.57,24.17,1000.48,,,,88.51,9.8,,0.6,2019-11-06 08:00:00,135.87,13.71,0,0,0,1,0,0
63,0.15,Novi Sad,5.22,4.5,12.45,34.37,1000.88,,,,87.0,9.24,,0.51,2019-11-06 09:00:00,121.15,14.21,0,0,0,1,0,0
64,0.15,Novi Sad,4.34,5.01,11.68,41.9,1001.48,,,,84.1,10.11,,0.64,2019-11-06 10:00:00,142.8,15.17,0,0,0,1,0,0
65,0.15,Novi Sad,4.33,6.92,13.58,46.58,1001.52,,,,81.5,11.35,,0.98,2019-11-06 11:00:00,134.37,16.04,0,0,0,1,0,0
66,0.14,Novi Sad,3.86,7.05,13.03,50.37,1001.59,,,,78.72,11.32,,0.95,2019-11-06 12:00:00,134.13,16.34,0,0,0,1,0,0
67,0.15,Novi Sad,4.7,8.9,16.07,49.68,1001.48,,,,73.04,11.75,,0.71,2019-11-06 13:00:00,131.56,17.14,0,0,0,1,0,0
68,0.17,Novi Sad,5.0,6.83,14.48,47.26,1001.62,,,,73.41,11.33,,1.13,2019-11-06 14:00:00,144.77,16.68,0,0,0,1,0,0
69,0.17,Novi Sad,4.08,7.76,14.06,40.15,1001.56,,,,75.71,10.44,,0.87,2019-11-06 15:00:00,136.56,16.05,0,0,0,1,0,0
70,0.17,Novi Sad,3.84,6.44,12.38,37.26,1001.49,,,,78.18,10.56,,0.63,2019-11-06 16:00:00,137.63,15.33,0,0,0,1,0,0
71,0.27,Novi Sad,5.06,16.59,24.43,25.6,1001.01,,,,77.31,10.68,,0.31,2019-11-06 17:00:00,72.46,15.16,0,0,0,1,0,0
72,0.28,Novi Sad,4.92,14.35,21.69,30.55,1001.19,,,,76.45,11.07,,0.34,2019-11-06 18:00:00,64.57,14.83,0,0,0,1,0,0
73,0.29,Novi Sad,4.35,15.09,21.83,24.77,1000.78,,,,76.92,10.97,,0.53,2019-11-06 19:00:00,86.65,14.58,0,0,0,1,0,0
74,0.3,Novi Sad,7.66,18.43,30.22,18.69,1000.31,,,,77.66,11.08,,0.24,2019-11-06 20:00:00,49.08,14.48,0,0,0,1,0,0
75,0.28,Novi Sad,5.8,12.49,21.33,20.35,1000.5,,,,79.68,10.48,,0.38,2019-11-06 21:00:00,91.92,14.17,0,0,0,1,0,0
76,0.3,Novi Sad,4.54,10.43,17.35,16.88,999.9,,,,82.55,10.43,,0.49,2019-11-06 22:00:00,71.1,14.04,0,0,0,1,0,0
77,0.36,Novi Sad,8.15,18.6,31.08,7.83,999.99,,,,82.83,10.76,,0.6,2019-11-06 23:00:00,21.6,14.35,0,0,0,1,0,0
78,0.23,Novi Sad,6.98,10.33,20.96,30.87,1000.11,,,,76.53,10.79,,0.17,2019-11-07 00:00:00,35.3,14.97,0,0,0,1,0,0
79,0.22,Novi Sad,4.28,8.46,14.96,34.32,1000.31,,,,71.06,10.92,,0.17,2019-11-07 01:00:00,97.62,15.1,0,0,0,1,0,0
80,0.19,Novi Sad,4.02,7.04,13.14,31.66,1000.16,,,,74.74,10.61,,0.4,2019-11-07 02:00:00,85.47,14.5,0,0,0,1,0,0
81,0.18,Novi Sad,4.23,6.98,13.5,28.24,1000.38,,,,71.81,10.35,,0.14,2019-11-07 03:00:00,306.31,14.99,0,0,0,1,0,0
82,0.23,Novi Sad,5.52,11.99,20.47,15.78,1000.96,,,,75.79,10.39,,0.19,2019-11-07 04:00:00,248.95,14.17,0,0,0,1,0,0
83,0.25,Novi Sad,6.09,9.44,18.84,8.11,1001.15,,,,81.24,10.38,,0.32,2019-11-07 05:00:00,191.39,13.38,0,0,0,1,0,0
84,0.39,Novi Sad,6.09,9.44,18.84,6.92,1001.42,,,,84.46,9.92,,0.17,2019-11-07 06:00:00,198.2,13.17,0,0,0,1,0,0
85,0.39,Novi Sad,11.68,14.81,32.85,3.62,1002.22,,,,86.25,10.3,,0.37,2019-11-07 07:00:00,179.21,13.37,0,0,0,1,0,0
86,0.27,Novi Sad,7.07,14.61,25.4,12.44,1002.88,,,,88.21,9.83,,0.68,2019-11-07 08:00:00,144.69,13.06,0,0,0,1,0,0
87,0.19,Novi Sad,5.35,12.99,21.26,29.91,1003.05,,,,87.6,11.05,,0.56,2019-11-07 09:00:00,133.16,13.49,0,0,0,1,0,0
88,0.24,Novi Sad,7.92,16.26,28.43,29.91,1003.46,,,,83.75,11.05,,0.15,2019-11-07 10:00:00,332.78,14.97,0,0,0,1,0,0
89,0.18,Novi Sad,5.08,10.8,18.49,54.58,1003.28,,,,70.47,13.76,,0.07,2019-11-07 11:00:00,334.8,17.03,0,0,0,1,0,0
90,0.16,Novi Sad,5.03,8.4,16.09,59.88,1003.23,,,,63.39,12.06,,0.39,2019-11-07 12:00:00,114.24,18.37,0,0,0,1,0,0
91,0.16,Novi Sad,5.55,6.17,14.26,66.41,1003.31,,,,58.55,10.85,,0.3,2019-11-07 13:00:00,134.34,19.18,0,0,0,1,0,0
92,0.21,Novi Sad,3.74,9.27,15.1,61.27,1003.36,,,,58.88,11.37,,0.31,2019-11-07 14:00:00,73.56,18.64,0,0,0,1,0,0
93,0.28,Novi Sad,8.16,23.33,35.95,33.68,1003.55,,,,65.12,11.73,,0.25,2019-11-07 15:00:00,44.82,17.84,0,0,0,1,0,0
94,0.32,Novi Sad,6.44,29.61,39.56,16.75,1003.89,,,,69.72,11.09,,0.27,2019-11-07 16:00:00,124.21,16.89,0,0,0,1,0,0
95,0.4,Novi Sad,8.07,27.76,40.01,7.38,1004.41,,,,76.35,10.44,,0.7,2019-11-07 17:00:00,139.0,15.19,0,0,0,1,0,0
96,0.37,Novi Sad,6.44,22.21,32.09,6.84,1004.61,,,,80.25,9.67,,0.43,2019-11-07 18:00:00,131.51,14.29,0,0,0,1,0,0
97,0.46,Novi Sad,14.39,26.93,49.01,6.62,1004.66,,,,80.57,10.35,,0.24,2019-11-07 19:00:00,50.99,14.59,0,0,0,1,0,0
98,0.31,Novi Sad,7.45,18.45,29.97,14.77,1004.57,,,,79.09,10.4,,0.36,2019-11-07 20:00:00,7.2,14.47,0,0,0,1,0,0
99,0.44,Novi Sad,15.09,29.38,45.73,11.93,1004.47,,,,76.49,10.88,,0.38,2019-11-07 21:00:00,29.06,14.5,0,0,0,1,0,0
100,0.36,Novi Sad,6.56,15.84,25.89,15.98,1004.51,,,,78.73,10.15,,0.36,2019-11-07 22:00:00,28.7,14.05,0,0,0,1,0,0
101,0.35,Novi Sad,6.42,12.0,21.77,12.71,1004.48,,,,80.48,10.13,,0.25,2019-11-07 23:00:00,359.31,13.53,0,0,0,1,0,0
102,0.28,Novi Sad,6.22,9.18,18.53,15.77,1004.59,,,,83.26,9.73,,0.34,2019-11-08 00:00:00,23.76,13.15,0,0,0,1,0,0
103,0.2,Novi Sad,4.13,5.67,12.01,24.7,1004.39,,,,83.0,9.99,,0.37,2019-11-08 01:00:00,19.1,13.22,0,0,0,1,0,0
104,0.2,Novi Sad,3.06,4.99,9.73,23.79,1003.87,,,,82.63,9.77,,0.53,2019-11-08 02:00:00,11.12,12.81,0,0,0,1,0,0
105,0.22,Novi Sad,4.16,5.3,11.75,16.54,1003.43,,,,83.88,9.93,,0.15,2019-11-08 03:00:00,342.72,12.53,0,0,0,1,0,0
106,0.22,Novi Sad,4.51,4.9,11.91,13.31,1003.28,,,,85.65,9.82,,0.19,2019-11-08 04:00:00,44.59,12.14,0,0,0,1,0,0
107,0.23,Novi Sad,6.32,7.02,17.45,11.09,1002.98,,,,86.68,9.69,,0.54,2019-11-08 05:00:00,10.06,12.24,0,0,0,1,0,0
108,0.25,Novi Sad,6.52,8.74,18.79,9.17,1003.09,,,,87.18,9.74,,0.44,2019-11-08 06:00:00,26.14,12.39,0,0,0,1,0,0
109,0.53,Novi Sad,14.65,16.27,38.98,3.96,1003.31,,,,88.34,10.33,,0.23,2019-11-08 07:00:00,24.8,12.25,0,0,0,1,0,0
110,0.37,Novi Sad,20.58,17.1,49.15,3.13,1003.26,,,,89.71,9.61,,0.22,2019-11-08 08:00:00,69.93,11.81,0,0,0,1,0,0
111,0.33,Novi Sad,17.96,11.27,41.29,2.14,1002.84,,,,91.01,9.91,,0.24,2019-11-08 09:00:00,18.39,12.16,0,0,0,1,0,0
112,0.29,Novi Sad,8.89,11.27,24.8,4.33,1002.56,,,,91.73,10.25,,0.39,2019-11-08 10:00:00,105.24,12.5,0,0,0,1,0,0
113,0.34,Novi Sad,12.39,10.29,30.5,3.41,1002.18,,,,92.09,10.47,,0.19,2019-11-08 11:00:00,53.17,13.3,0,0,0,1,0,0
114,0.32,Novi Sad,12.82,10.15,28.44,5.58,1001.59,,,,91.41,10.96,,0.3,2019-11-08 12:00:00,80.54,14.3,0,0,0,1,0,0
115,0.38,Novi Sad,15.57,13.15,36.64,7.9,1001.39,,,,89.6,11.76,,0.1,2019-11-08 13:00:00,187.92,15.91,0,0,0,1,0,0
116,0.26,Novi Sad,5.25,9.42,17.0,29.89,1001.28,,,,82.94,12.62,,0.45,2019-11-08 14:00:00,153.17,16.39,0,0,0,1,0,0
117,0.35,Novi Sad,8.26,15.38,28.3,20.36,1001.4,,,,78.54,12.25,,0.06,2019-11-08 15:00:00,218.91,16.64,0,0,0,1,0,0
118,0.53,Novi Sad,25.75,22.71,62.39,1.22,1001.75,,,,81.83,11.6,,0.17,2019-11-08 16:00:00,290.23,15.74,0,0,0,1,0,0
119,0.52,Novi Sad,21.71,16.63,50.04,1.35,1002.03,,,,86.77,11.27,,0.46,2019-11-08 17:00:00,129.1,14.18,0,0,0,1,0,0
120,0.55,Novi Sad,25.93,15.98,55.69,0.5,1002.17,,,,89.33,11.38,,0.69,2019-11-08 18:00:00,133.52,13.0,0,0,0,1,0,0
121,0.88,Novi Sad,40.93,14.97,76.17,1.68,1002.26,,,,90.03,12.43,,0.17,2019-11-08 19:00:00,123.01,12.81,0,0,0,1,0,0
122,0.9,Novi Sad,48.07,14.39,88.05,1.31,1002.66,,,,90.51,12.38,,0.25,2019-11-08 20:00:00,129.82,12.68,0,0,0,1,0,0
123,0.97,Novi Sad,31.48,14.15,62.52,3.29,1003.26,,,,91.27,11.33,,0.38,2019-11-08 21:00:00,156.09,11.51,0,0,0,1,0,0
124,1.34,Novi Sad,48.81,13.98,88.78,1.73,1003.76,,,,93.4,12.02,,0.25,2019-11-08 22:00:00,160.74,10.97,0,0,0,1,0,0
125,1.17,Novi Sad,35.14,12.6,66.48,3.98,1003.93,,,,94.82,11.53,,0.23,2019-11-08 23:00:00,131.0,10.47,0,0,0,1,0,0
126,0.61,Novi Sad,19.43,11.18,40.87,8.33,1003.89,,,,95.76,10.56,,0.44,2019-11-09 00:00:00,155.5,11.57,0,0,0,1,0,0
127,0.19,Novi Sad,5.38,3.98,11.76,26.02,1003.87,,,,83.4,9.85,,0.91,2019-11-09 01:00:00,155.46,13.82,0,0,0,1,0,0
128,0.14,Novi Sad,4.79,4.04,10.75,44.54,1003.87,,,,60.78,10.51,,1.18,2019-11-09 02:00:00,139.49,15.21,0,0,0,1,0,0
129,0.11,Novi Sad,3.03,4.5,9.17,58.93,1003.72,,,,56.32,12.6,,1.32,2019-11-09 03:00:00,135.82,15.71,0,0,0,1,0,0
130,0.11,Novi Sad,3.8,3.26,9.1,61.13,1003.53,,,,53.85,13.31,,1.95,2019-11-09 04:00:00,134.82,15.95,0,0,0,1,0,0
131,0.11,Novi Sad,2.87,4.1,8.5,61.76,1003.45,,,,54.52,13.1,,2.43,2019-11-09 05:00:00,140.49,16.43,0,0,0,1,0,0
132,0.11,Novi Sad,3.22,3.95,8.8,65.59,1003.67,,,,53.41,12.29,,2.41,2019-11-09 06:00:00,145.07,16.79,0,0,0,1,0,0
133,0.12,Novi Sad,3.35,3.32,8.52,62.84,1004.18,,,,53.82,11.93,,2.35,2019-11-09 07:00:00,141.09,16.7,0,0,0,1,0,0
134,0.12,Novi Sad,4.11,4.57,10.85,61.41,1004.37,,,,53.32,14.39,,2.69,2019-11-09 08:00:00,145.71,17.03,0,0,0,1,0,0
135,0.12,Novi Sad,5.33,3.0,11.24,64.43,1004.46,,,,52.12,13.67,,2.78,2019-11-09 09:00:00,141.64,17.51,0,0,0,1,0,0
136,0.13,Novi Sad,3.95,4.17,10.23,63.89,1004.58,,,,52.27,13.59,,2.47,2019-11-09 10:00:00,139.98,17.93,0,0,0,1,0,0
137,0.15,Novi Sad,4.87,6.2,13.67,61.19,1004.25,,,,51.79,16.86,,1.36,2019-11-09 11:00:00,136.99,18.61,0,0,0,1,0,0
138,0.15,Novi Sad,4.43,6.37,13.19,62.34,1003.8,,,,52.03,22.63,,1.74,2019-11-09 12:00:00,140.02,19.33,0,0,0,1,0,0
139,0.16,Novi Sad,3.07,6.45,11.19,62.52,1003.54,,,,51.38,26.04,,2.1,2019-11-09 13:00:00,142.84,20.11,0,0,0,1,0,0
140,0.17,Novi Sad,2.61,8.03,12.06,59.88,1003.45,,,,51.7,31.52,,1.74,2019-11-09 14:00:00,144.91,20.08,0,0,0,1,0,0
141,0.19,Novi Sad,3.11,8.11,12.86,58.17,1003.49,,,,53.49,15.84,,1.43,2019-11-09 15:00:00,133.11,19.7,0,0,0,1,0,0
142,0.28,Novi Sad,5.63,20.6,29.15,31.53,1003.95,,,,56.17,18.7,,0.61,2019-11-09 16:00:00,301.87,19.24,0,0,0,1,0,0
143,0.34,Novi Sad,4.99,15.19,22.84,21.83,1005.05,,,,67.77,12.1,,0.05,2019-11-09 17:00:00,185.21,17.13,0,0,0,1,0,0
144,0.37,Novi Sad,6.76,16.71,27.07,13.47,1005.55,,,,73.11,10.78,,0.16,2019-11-09 18:00:00,326.31,16.16,0,0,0,1,0,0
145,0.39,Novi Sad,5.78,16.36,25.02,12.46,1005.75,,,,74.89,10.5,,0.09,2019-11-09 19:00:00,237.38,15.42,0,0,0,1,0,0
146,0.4,Novi Sad,9.74,15.51,30.2,11.55,1005.75,,,,79.78,10.37,,0.1,2019-11-09 20:00:00,283.19,14.61,0,0,0,1,0,0
147,0.35,Novi Sad,7.94,12.39,24.39,10.33,1005.22,,,,85.22,9.92,,0.34,2019-11-09 21:00:00,199.58,13.72,0,0,0,1,0,0
148,0.26,Novi Sad,5.67,8.47,16.61,14.1,1004.66,,,,86.82,10.02,,0.32,2019-11-09 22:00:00,151.2,13.38,0,0,0,1,0,0
149,0.27,Novi Sad,4.94,8.5,16.04,12.94,1004.54,,,,87.06,9.78,,0.55,2019-11-09 23:00:00,136.51,13.23,0,0,0,1,0,0
150,0.25,Novi Sad,4.51,8.45,15.44,16.96,1004.08,,,,86.89,10.06,,0.13,2019-11-10 00:00:00,123.46,13.27,0,0,0,1,0,0
151,0.21,Novi Sad,5.39,8.3,16.58,19.25,1002.96,,,,85.94,10.15,,0.13,2019-11-10 01:00:00,112.44,13.15,0,0,0,1,0,0
152,0.2,Novi Sad,4.43,6.19,13.1,20.05,1002.15,,,,86.49,10.1,,0.32,2019-11-10 02:00:00,119.22,12.76,0,0,0,1,0,0
153,0.2,Novi Sad,4.67,6.54,13.69,19.08,1001.49,,,,87.96,10.17,,0.35,2019-11-10 03:00:00,110.67,12.59,0,0,0,1,0,0
154,0.2,Novi Sad,4.24,4.8,11.18,17.64,1001.09,,,,89.35,10.29,,0.1,2019-11-10 04:00:00,88.78,12.5,0,0,0,1,0,0
155,0.2,Novi Sad,5.07,5.12,12.81,13.87,1000.61,,,,90.53,10.08,,0.25,2019-11-10 05:00:00,99.16,12.32,0,0,0,1,0,0
156,0.22,Novi Sad,5.95,9.79,19.17,12.04,1000.36,,,,91.09,10.07,,0.17,2019-11-10 06:00:00,109.26,12.29,0,0,0,1,0,0
157,0.28,Novi Sad,5.95,9.79,19.17,8.2,1000.43,,,,91.48,10.4,,0.24,2019-11-10 07:00:00,158.79,12.47,0,0,0,1,0,0
158,0.28,Novi Sad,8.95,8.54,22.33,7.99,1000.69,,,,92.01,10.76,,0.14,2019-11-10 08:00:00,243.46,12.92,0,0,0,1,0,0
159,0.29,Novi Sad,6.89,7.26,18.34,13.74,1001.47,,,,90.5,10.94,,0.47,2019-11-10 09:00:00,161.28,14.07,0,0,0,1,0,0
160,0.21,Novi Sad,4.21,5.19,11.58,35.35,1002.08,,,,84.84,19.67,,0.98,2019-11-10 10:00:00,165.23,14.78,0,0,0,1,0,0
161,0.23,Novi Sad,7.18,7.97,18.3,35.35,1002.45,,,,77.1,19.67,,0.1,2019-11-10 11:00:00,64.2,16.26,0,0,0,1,0,0
162,0.25,Novi Sad,6.02,7.76,16.87,41.83,1002.96,,,,67.85,26.05,,0.51,2019-11-10 12:00:00,323.11,17.08,0,0,0,1,0,0
163,0.23,Novi Sad,5.65,6.89,15.57,43.75,1003.5,,,,69.3,14.75,,1.52,2019-11-10 13:00:00,316.09,15.43,0,0,0,1,0,0
164,0.22,Novi Sad,3.93,7.48,13.44,36.46,1004.4,,,,74.25,11.11,,1.52,2019-11-10 14:00:00,317.96,13.5,0,0,0,1,0,0
165,0.24,Novi Sad,5.84,7.57,16.65,29.36,1005.14,,,,75.74,10.47,,1.0,2019-11-10 15:00:00,327.3,12.71,0,0,0,1,0,0
